type,length_of_arr,no_compares,no_swaps,time
dual_quick,1600,10101,17326,0.024279117584228516
hybrid,1600,17313,16919,0.027268648147583008
insert,1700,736893,736887,0.8960630893707275
merge,1700,17393,16119,0.030237674713134766
quick,1700,12751,21480,0.02542281150817871
dual_quick,1700,11892,19386,0.022518157958984375
hybrid,1700,18698,18306,0.024536609649658203
insert,1700,733694,733693,1.028979778289795
merge,1700,17400,16115,0.030112028121948242
quick,1700,13593,21980,0.024184703826904297
dual_quick,1700,11664,18079,0.022222280502319336
hybrid,1700,18556,18151,0.03580164909362793
insert,1700,722795,722789,1.032203197479248
merge,1700,17418,16108,0.028462648391723633
quick,1700,14353,21993,0.02472376823425293
dual_quick,1700,11942,17988,0.02195143699645996
hybrid,1700,18524,18096,0.025078773498535156
insert,1700,708917,708914,0.8349697589874268
merge,1700,17356,16105,0.031265974044799805
quick,1700,14004,21428,0.024602890014648438
dual_quick,1700,11614,17970,0.022569656372070312
hybrid,1700,18525,18139,0.02543926239013672
insert,1700,744011,744005,1.1128313541412354
merge,1700,17387,16096,0.02954387664794922
quick,1700,13339,22072,0.024241209030151367
dual_quick,1700,13197,17457,0.022219419479370117
hybrid,1700,18663,18261,0.02938699722290039
insert,1800,810717,810705,1.2120201587677002
merge,1800,18534,17210,0.03802943229675293
quick,1800,14966,22996,0.03094649314880371
dual_quick,1800,11764,19390,0.02715754508972168
hybrid,1800,20104,19695,0.027826547622680664
insert,1800,798771,798765,1.0797195434570312
merge,1800,18496,17174,0.032909393310546875
quick,1800,13764,21772,0.025742053985595703
dual_quick,1800,12792,18853,0.02392101287841797
hybrid,1800,19981,19552,0.0276644229888916
insert,1800,814644,814639,1.3308169841766357
merge,1800,18538,17236,0.0612339973449707
quick,1800,13673,25461,0.05492210388183594
dual_quick,1800,12766,18841,0.04784250259399414
hybrid,1800,19923,19521,0.05317521095275879
insert,1800,836516,836509,1.3936877250671387
merge,1800,18488,17251,0.030838966369628906
quick,1800,15623,22151,0.028001070022583008
