type,length_of_arr,no_compares,no_swaps,time
dual_quick,700,4098,6197,0.011953353881835938
hybrid,700,7662,7548,0.01044774055480957
insert,700,125598,125594,0.15027999877929688
merge,700,6332,5770,0.010596036911010742
quick,700,3700,7099,0.006549835205078125
dual_quick,700,4012,6374,0.009190559387207031
hybrid,700,7781,7659,0.013689041137695312
insert,700,123193,123187,0.1817915439605713
merge,700,6310,5774,0.011942386627197266
quick,700,3813,7261,0.008480072021484375
dual_quick,700,3986,6521,0.009184122085571289
hybrid,700,7688,7556,0.012311458587646484
insert,700,124087,124082,0.16312766075134277
merge,700,6305,5766,0.015873432159423828
quick,700,3727,7165,0.007853269577026367
dual_quick,700,4281,7098,0.012625694274902344
hybrid,700,7742,7628,0.010591983795166016
insert,800,159736,159730,0.18825316429138184
merge,800,7363,6722,0.012494564056396484
quick,800,4457,8315,0.008230924606323242
dual_quick,800,4734,7109,0.009658575057983398
hybrid,800,7680,7484,0.013103246688842773
insert,800,161259,161253,0.21442222595214844
merge,800,7348,6751,0.015680313110351562
quick,800,4280,8529,0.008296012878417969
dual_quick,800,4663,7310,0.011085271835327148
hybrid,800,7759,7573,0.010447263717651367
insert,800,166770,166758,0.20261931419372559
merge,800,7316,6715,0.012696027755737305
quick,800,5250,9889,0.009548664093017578
dual_quick,800,4898,7383,0.009696483612060547
hybrid,800,7875,7668,0.011543512344360352
insert,800,167415,167409,0.21365857124328613
merge,800,7306,6715,0.012804985046386719
quick,800,4549,8076,0.007735729217529297
dual_quick,800,4841,7521,0.010284185409545898
hybrid,800,7766,7575,0.010532379150390625
insert,800,156745,156737,0.19991850852966309
merge,800,7344,6710,0.013408899307250977
quick,800,4717,7871,0.008975028991699219
dual_quick,800,4544,7449,0.009761333465576172
hybrid,800,7870,7667,0.012885332107543945
insert,900,202481,202479,0.24013090133666992
merge,900,8387,7719,0.014370918273925781
quick,900,4717,10143,0.009177207946777344
dual_quick,900,5742,8883,0.012794256210327148
hybrid,900,9206,9017,0.012577533721923828
insert,900,211561,211551,0.25399112701416016
merge,900,8373,7715,0.018636226654052734
quick,900,5290,9441,0.009989023208618164
dual_quick,900,5025,8517,0.011355161666870117
hybrid,900,9191,8974,0.012388229370117188
insert,900,206542,206534,0.24613094329833984
merge,900,8354,7704,0.01624298095703125
quick,900,5135,9727,0.009306192398071289
dual_quick,900,5671,8084,0.01289677619934082
hybrid,900,9104,8870,0.01237630844116211
insert,900,205478,205475,0.25930261611938477
merge,900,8334,7703,0.014384031295776367
quick,900,4928,9337,0.009147405624389648
dual_quick,900,6559,9080,0.013494491577148438
hybrid,900,9056,8883,0.012179374694824219
insert,900,213192,213187,0.2512698173522949
merge,900,8340,7709,0.014232873916625977
quick,900,5856,10092,0.010146617889404297
dual_quick,900,5983,8299,0.013460159301757812
hybrid,900,8963,8750,0.013236284255981445
insert,1000,244804,244799,0.3116927146911621
merge,1000,9347,8694,0.015870332717895508
quick,1000,7140,12465,0.012998342514038086
dual_quick,1000,6134,9305,0.012579917907714844
hybrid,1000,10483,10258,0.013918399810791016
insert,1000,242143,242136,0.29525232315063477
merge,1000,9295,8696,0.015598058700561523
quick,1000,6746,11469,0.012269258499145508
dual_quick,1000,5997,9317,0.012178421020507812
hybrid,1000,10413,10192,0.016550064086914062
insert,1000,246951,246945,0.3043632507324219
merge,1000,9381,8687,0.01561594009399414
quick,1000,6440,10442,0.01085805892944336
dual_quick,1000,5924,9289,0.013458490371704102
hybrid,1000,10592,10371,0.01415395736694336
insert,1000,246642,246639,0.2965378761291504
merge,1000,9372,8698,0.01851940155029297
quick,1000,5916,11103,0.012047290802001953
dual_quick,1000,6557,9085,0.012459754943847656
hybrid,1000,10574,10349,0.01422572135925293
insert,1000,259588,259582,0.3169591426849365
merge,1000,9376,8692,0.018810033798217773
quick,1000,6188,11534,0.011957645416259766
dual_quick,1000,5652,11253,0.016277313232421875
hybrid,1000,10729,10479,0.01680302619934082
insert,1100,311971,311964,0.41724300384521484
merge,1100,10519,9730,0.01965165138244629
quick,1100,6664,12217,0.01323246955871582
dual_quick,1100,7583,11481,0.016523122787475586
hybrid,1100,12125,11897,0.017155885696411133
insert,1100,303497,303489,0.38371849060058594
merge,1100,10524,9757,0.019006013870239258
quick,1100,7626,13560,0.01367807388305664
dual_quick,1100,7380,11957,0.016576766967773438
hybrid,1100,12164,11933,0.016785383224487305
insert,1100,291720,291717,0.3782157897949219
merge,1100,10471,9694,0.020110607147216797
quick,1100,6919,12549,0.015542984008789062
dual_quick,1100,7079,10885,0.01726841926574707
hybrid,1100,12093,11883,0.029070615768432617
insert,1100,302968,302963,0.3610045909881592
merge,1100,10543,9752,0.018107891082763672
quick,1100,6690,11491,0.012081384658813477
dual_quick,1100,7351,10362,0.015455484390258789
hybrid,1100,12080,11864,0.016067981719970703
insert,1100,304131,304128,0.3765590190887451
merge,1100,10543,9758,0.019756793975830078
quick,1100,6314,12498,0.012367010116577148
dual_quick,1100,6504,11341,0.01621413230895996
hybrid,1100,12209,11998,0.017405986785888672
insert,1200,356152,356146,0.44190454483032227
